abrasives	Abrasives remove material from a workpiece.
sanding-abrasives	Sanding abrasives smooth surfaces (such as metal, composites, wood, stone, and plastic) and prepare them for finishing and polishing.
sanding-discs	Sanding discs smooth surfaces made of metal, wood, composites, and other materials.
sanding-belts	Sanding belts fit compatible grinding or sanding tools to smooth wood and metal surfaces.
hand-sanding-pads-sponges-steel-wool	Hand sanding pads, sanding sponges, and steel wool smooth and finish metal, composite, wood, and stone surfaces.
sandpaper-sheets	Sandpaper sheets shape, smooth, and finish metal and wood surfaces.
sanding-rolls	Sanding rolls have an abrasive material for removing surface imperfections and finishing wood, metal, ceramic, and other surfaces.
flap-wheels	Flap wheels install in bench grinders, pedestal grinders, die grinders, or other rotary tool to debur, smooth, and polish surfaces.
surface-conditioning-wheels	Surface-conditioning wheels are made of nonwoven material with an integrated abrasive to clean and prepare surfaces for finishing.
cartridge-rolls	Cartridge rolls quickly remove material, smooth surface imperfections, and ease sharp edges.
spiral-bands	Spiral bands clean, smooth, blend, and polish contours.
specialty-abrasives	Specialty abrasives fit rotary tools to deburr, clean, smooth, and finish metal, composites, and stone.
abrasive-cord	Abrasive cords smooth hard-to-reach surfaces in narrow crevices and grooves and inside small through-bores.
cut-off-grinding-abrasives	Cut-off and grinding abrasives are used in metalworking and machining applications to cut workpieces to size and smooth metal, stone, and concrete surfaces.
cut-off-wheels	Cut-off wheels install in angle grinders, power saws, and other rotary tools to cut and notch metal workpieces.
grinding-wheels	Grinding wheels smooth and finish metal and sharpen tools.
combination-cut-off-grinding-wheels	Combination wheels install on angle grinders to cut, notch, and grind metal workpieces.
grinding-cones-plugs	Grinding cones and plugs install on die grinders for offhand snagging and grinding metal workpieces, including cleaning castings, smoothing welds, cleaning interior weld seams, and beveling.
rubbing-bricks	Rubbing bricks are made of extra-coarse abrasive to remove marks on stone and concrete, clean castings, and smooth floors.
dressing-truing-tools	Dressing and truing tools keep grinding wheels square, sharp, and clean.
abrasive-brushes	Abrasive brushes are made with coarse strands of material and are used with power tools to polish, deburr, clean, smooth, finish, or buff surfaces, as well as remove rust, scale, paint, and welding spatter.
wire-wheel-brushes	Wire wheel brushes install on rotary power tools to debur, clean, and finish metal, wood, masonry, and plastic.
cup-brushes	Cup brushes install on power tools, such as angle, drill, and die grinders, to debur and clean surfaces of rust, paint, slag, and other surface contaminants from large and contoured surfaces.
end-brushes	End brushes are used for fine-tuned deburring and cleaning, removing slag and rust from narrow passages, tubes, and tight corners.
wire-brush-kits	These kits contain several types of wire brushes, including cup, wheel, and end.
disc-brushes	Disc brushes remove surface contaminants such as rust, paint, and coatings from large areas.
power-tube-brushes	Power tube brushes connect to handheld power tools or are mounted onto automated machines to clean and debur blind, through, smooth and threaded holes.
honing-brushes	Honing brushes have nylon bristles with abrasive-embedded spheres at the ends to finish and clean bores of oxidation and other surface contaminants.
abrasive-blasting	Abrasive blasting uses high pressure to apply abrasive media to a workpiece to remove rust and surface contaminants, smooth and debur parts, and prepare surfaces for finishing.
abrasive-blasting-media	Abrasive blasting media is used in abrasive blasters to debur, clean, finish, etch, and polish metal, wood, and composite workpieces.
blasting-cabinets	Blasting cabinets have an airtight, enclosed space to contain blast media, dust, and debris created when removing rust and surface contaminants from workpieces.
blasting-cabinet-parts-accessories	Blasting cabinet parts and accessories connect to, repair, or replace worn components on abrasive blasting cabinets.
portable-abrasive-blasters	Portable abrasive blasters connect to an air compressor to clean and etch large surfaces.
blasting-guns-nozzles	Blasting guns and nozzles connect work with an abrasive blaster or compressed air source to clean surfaces, remove paint and rust, and debur parts.
abrasive-blasting-dust-collectors-accessories	Abrasive blasting dust collectors attach to blast cabinets to remove airborne dust and blast media to maintain good visibility.
abrasive-blasting-hoods	Abrasive blasting hoods protect the face, head, and neck from blast media debris encountered during abrasive blasting operations.
deburring	Deburring tools remove rough edges, unwanted projections, and surface imperfections from workpieces.
carbide-burs	Carbide burs attach to rotary tools to remove sharp edges, smooth, and shape machined workpieces.
mounted-points-kits	Mounted points debur, blend, smooth, finish, and polish metal, plastic, and composite workpieces.
hand-deburring-tools-blades	Hand deburring tools and blades smooth sharp edges on metal workpieces.
sharpening	Sharpening supplies clean and hone cutting edges to keep blades, chisels, and tools in good condition.
sharpening-stones	Sharpening stones are composed of abrasive material to clean, hone, polish, and sharpen cutting edges.
abrasive-sharpening-files	Abrasive sharpening files are often used in tool and die making to debur, smooth, hone, and chamfer parts, and sharpen cutting edges.
sharpening-machines	Sharpening machines renew cutting edges so tools can make clean, accurate cuts.
hand-sharpening-tools	Hand sharpening tools are used for the manual sharpening of cutting tools, including scissors and knives.
buffing-polishing	Buffing and polishing uses fine abrasives and soft buffing wheels to remove light scratches and create a fine, polished finish on metal, plastic, composites, and glass.
buffing-wheels	Buffing wheels attach to bench grinders to remove scratches, buff, polish, and finish workpieces.
buffing-polishing-compounds	Buffing and polishing compounds are applied to buffing wheels to remove surface contaminants and imperfections.
buffing-polishing-kits	Buffing and polishing kits include buffs and abrasive polishing compounds that work together to create a fine finish on metal.
lapping-compounds	Lapping compounds create flat surfaces in high-precision machining applications.
diamond-polishing-pads	Diamond polishing pads create a fine final finish on engineered and natural stone surfaces, such as granite countertops.
felt-bobs	Felt bobs are used with polishing compounds to create a final finish on metal and plastic surfaces.
vibratory-tumbling-finishing	Vibratory tumbling and finishing removes burs and creates a smooth surface on metal, plastic, glass, and stone.
tumbling-media	Tumbling media deburs, smooths, and polishes metal, plastic, stone, and glass.
tumbling-media-finishing-compounds	Tumbling media finishing compounds are added with tumbling media to vibratory and centrifugal magnetic finishers to enhance finishes that would be achieved using media alone.
vibratory-tumblers	Vibratory tumblers debur, smooth, and polish small parts made from a variety of materials such as metal, plastic, glass, and stone.
vibratory-tumbler-bowls-lids	Vibratory tumbler bowls and lids attach to vibratory tumblers to hold and secure parts and media.
vibratory-tumbler-replacement-parts	Vibratory tumbler replacement parts keep tumblers in good working order.
manual-separating-screens	Manual separating screens ensure undersized tumbling media isn't used in a vibratory tumbler.
abrasive-accessories	Abrasive accessories support the use of sandpaper, surface-conditioning pads, flap wheels, and other abrasives that smooth and finish metal, wood, composites, and concrete and stone.
backing-pads-fasteners	Backing pads install on an angle grinder, orbital sander, or rotary tool and have a flat, stable surface that supports an abrasive disc to provide a smooth, even finish.
mandrels-arbors-adapters-for-abrasives	Mandrels, arbors, and adapters connect abrasive wheels, discs, and sanding abrasives to a compatible rotary tool.
expanding-drums-wheels	Expanding drums and drum wheels hold inline drum sanding belts and abrasive spiral bands so they can be used in a drum sander, drill press, or handheld rotary tool.
sanding-blocks	Sanding blocks grip and stabilize sandpaper to make hand sanding easier.
adhesives-sealants-and-tape	Adhesives, sealants, and tape are used to bond, repair, seal, and protect a wide range of materials and surfaces.
adhesives-glues	Adhesives and glues hold materials together and prevent separation after drying, and are often used to reinforce or provide an alternative to mechanical fasteners.
load-bearing-structural-adhesives	Load-bearing structural adhesives are the only adhesives able to create load-bearing bonds and provide an alternative to screws and other mechanical fastening.
construction-adhesives	Construction adhesives hold non-load-bearing building materials together and prevent separation after drying, providing a substitute when mechanical fasteners are not suitable or additional support when used with fasteners.
spray-adhesives	Spray adhesives, also known as aerosol adhesives, apply evenly and quickly without mixing or spreading, are useful for bonding larger surface areas, and typically have a short drying time.
contact-adhesives	Contact adhesives, also known as contact cement or rubber cement, stick to surfaces and form a strong bond in applications where other glues won't suffice.
